標誌,ID,人物,內容,跳轉,效果,目標
#,0,獸醫,接下來要帶狗狗，去做基礎健檢，您知道貓咪需要做哪些檢查嗎?,1,,
&,1,我,知道,3,,
&,2,我,不知道,4,,
#,3,獸醫,太好了，那我們會按照理學檢查、血液檢查、生化九項檢查、X光這樣的排序先幫您的毛小孩先做基本健檢。,5,,
#,4,獸醫,我們會做理學檢查、血液檢查、生化九項檢查、X光這四項的檢查，主要是醫師透過「問診、聽診、視診」了解狗狗的情況，透過血檢分析肉眼看不到的數值，也經由影像看出有沒有結石或肺臟的問題等等進而分析的健康狀況。,5,,
&,5,我,好的!我知道了~,6,,
#,6,獸醫,那我們就開始幫毛小孩做檢查吧!,7,,
#,7,獸醫,狗狗的紅血球雖然在正常範圍之內，但整體還是偏高，這跟牠喝水的量有些關係，平常要再幫牠補充水分喔~,8,,
&,8,我,好的!謝謝醫師~,9,基礎健檢完成,
#,9,獸醫,接下來我們要來植入晶片，您知道植入晶片的重要性嗎?,10,,
&,10,我,知道!就像我們人類的身分證一樣,14,,
&,11,我,我知道，但真的很重要嗎?一定要植入嗎?狗狗會不會很痛!,12,,
#,12,獸醫,這是很重要的，若狗狗走失，只要帶去醫院，醫院可以快速走到飼主，也避免有更多的流浪狗。另外晶片外面是生物相容玻璃，不會對狗狗有任何影響，可以不用擔心。 ,13,,
&,13,我,原來如此，我明白了!,14,,
#,14,獸醫,太好了，那我們就來植入晶片吧!,15,,
#,15,獸醫,狗狗已經成功植入晶片了!,16,,
&,16,我,(對寵物說)你真乖，植入晶片代表我會負責照顧你一輩子喔,17,植入晶片完成,
#,17,獸醫,那接下來我們就來施打狂犬疫苗跟打五合一預防針! ,18,,
&,18, 我,好!麻煩醫生了~,19,,
#,19,獸醫,狗狗很乖喔，中間都沒有掙扎喔,20,,
&,20,我,哇都不會怕痛誒，比我還厲害,21,打預防針完成,
#,21,獸醫,接下來就幫狗狗做結紮,22,,
#,22,獸醫,止痛針有幫狗狗打過了，今天不太會痛，但術後第一天可能不會吃東西，後天會開始習慣吃東西~,23,,
&,23,我,謝謝醫師!我明白了~,24,結紮完成,
#,24,獸醫,健康檢查的目的在於「預防重於治療」，所以即便狗狗的外表沒什麼變化，體內看不到問題也能透過每年獲每半年的 報告發現一些端倪，才能及早針對疾病進行預防和保養。,25,,
#,25,獸醫,"回去之後可以訂定適合自家毛小孩的健檢計畫喔~
那今天的健檢到這邊結束，祝你養狗順利~",26,,
END,26,,,,,
