標誌,ID,人物,內容,跳轉,效果,目標
#,0,獸醫,接下來要帶貓咪去做基礎健檢，您知道貓咪需要做哪些檢查嗎?,1,,
&,1,我,知道,3,,
&,2,我,不知道,4,,
#,3,獸醫,太好了!那我們會按照外觀檢查、基礎血檢、寄生蟲檢查這樣的排序先幫您的毛小孩先做基本健檢。,5,,
#,4,獸醫,我們會做外觀檢查、基礎血檢、寄生蟲檢查這三項的檢查，主要是對貓咪肝腎功能與血液概析以了解貓咪的健康狀況，看是否有貓愛滋、貓瘟等各種疾病，並且需幫貓咪做體內外驅蟲以及預防針施打。,5,,
#,5,我,好的!我知道了~,6,,
#,6,獸醫,那我們就開始幫毛小孩做檢查吧!,7,,
#,7,獸醫,貓咪很健康喔~指數都在正常值以內，沒有甚麼大問題!,8,,
#,8,我,好的!謝謝醫師~,9,基礎健檢完成,
#,9,獸醫,接下來我們要來植入晶片，您知道植入晶片的重要性嗎?,10,,
&,10,我,知道!就像我們人類的身分證一樣,14,,
&,11,我,這個有很重要嗎?一定要植入嗎?,12,,
#,12,獸醫,這是很重要的，若貓咪走失，只要帶去醫院，醫院可以快速走到飼主，也避免有更多的流浪貓。 ,13,,
#,13,我,原來如此，我明白了!,14,,
#,14,獸醫,太好了，那我們就來植入晶片吧!,15,,
#,15,獸醫,貓咪已經成功植入晶片了!,16,植入晶片完成,
#,16,獸醫,那接下來我們就來施打狂犬疫苗跟打三合一預防針,17,,
#,17, 我,好!麻煩醫生了~,18,,
#,18,獸醫,貓咪很乖喔，中間都沒有掙扎。,19,打預防針完成,
#,19,獸醫,接下來就幫貓咪做結紮。 ,20,,
#,20,獸醫,止痛針有幫貓咪打過了，今天不太會痛，但術後第一天可能不會吃東西，後天會開始習慣吃東西~,21,,
#,21,我,謝謝醫師!我明白了~,22,結紮完成,
#,22,,1歲以後，最好每年做一次健康檢查，需要注意的是每種貓咪老化速度不同，不同品種要注意的問題不同，可以與信任的獸醫師討論，訂定適合自家毛小孩的健檢計畫喔~,23,,
#,23,,那今天的健檢到這邊結束，祝你養貓順利~,24,對話end,
END,24,,,,,
